decision_step,episode_id,action,reward,done,obs_json,next_obs_json
66,1,1,-43.29911448955536,False,"[0.0, 5.801490650795865e-16, 0.3369162976741791, 0.3369162976741791, 0.0, 0.050782401114702225, 0.0, 0.038333334028720856, 1.0]","[0.0, 4.629141039260735e-19, 0.38200095295906067, 0.38200095295906067, 0.0, 0.0325007364153862, 0.0, 0.0716666653752327, 1.0]"
67,1,1,-48.3243292927742,False,"[0.0, 4.629141039260735e-19, 0.38200095295906067, 0.38200095295906067, 0.0, 0.0325007364153862, 0.0, 0.0716666653752327, 1.0]","[0.0, 3.6936964169440616e-22, 0.42134252190589905, 0.42134252190589905, 0.0, 0.020800471305847168, 0.0, 0.10499999672174454, 1.0]"
68,1,1,-52.956181931495664,False,"[0.0, 3.6936964169440616e-22, 0.42134252190589905, 0.42134252190589905, 0.0, 0.020800471305847168, 0.0, 0.10499999672174454, 1.0]","[0.0, 2.947284182114017e-25, 0.4597553014755249, 0.4597553014755249, 0.0, 0.013312301598489285, 0.0, 0.13833333551883698, 1.0]"
69,1,1,-50.202222120761874,False,"[0.0, 2.947284182114017e-25, 0.4597553014755249, 0.4597553014755249, 0.0, 0.013312301598489285, 0.0, 0.13833333551883698, 1.0]","[0.0, 0.003601500065997243, 0.25275272130966187, 0.49748167395591736, 0.0, 0.008519873023033142, 0.0, 0.17166666686534882, 1.0]"
70,1,1,-34.7383944272995,False,"[0.0, 0.003601500065997243, 0.25275272130966187, 0.49748167395591736, 0.0, 0.008519873023033142, 0.0, 0.17166666686534882, 1.0]","[0.0, 2.873718358387123e-06, 0.2946409583091736, 0.5393699407577515, 0.05000000074505806, 0.08545272052288055, 0.0, 0.20499999821186066, 1.0]"
71,1,1,-38.73222156365713,False,"[0.0, 2.873718358387123e-06, 0.2946409583091736, 0.5393699407577515, 0.05000000074505806, 0.08545272052288055, 0.0, 0.20499999821186066, 1.0]","[0.0, 0.010500002652406693, 0.22639378905296326, 0.5831544399261475, 0.05000000074505806, 0.054689738899469376, 0.0, 0.2383333295583725, 1.0]"
72,1,1,-29.933889859914775,False,"[0.0, 0.010500002652406693, 0.22639378905296326, 0.5831544399261475, 0.05000000074505806, 0.054689738899469376, 0.0, 0.2383333295583725, 1.0]","[0.05000000074505806, 0.04160487651824951, 0.20265890657901764, 0.6242388486862183, 0.05000000074505806, 0.11500143259763718, 0.0, 0.27166667580604553, 1.0]"
73,1,0,-30.764403835932416,False,"[0.05000000074505806, 0.04160487651824951, 0.20265890657901764, 0.6242388486862183, 0.05000000074505806, 0.11500143259763718, 0.0, 0.27166667580604553, 1.0]","[0.0, 0.01199830137193203, 0.30585554242134094, 0.6626161932945251, 0.05000000074505806, 0.15360091626644135, 0.0, 0.3050000071525574, 0.0]"
74,1,0,-41.14237812360129,False,"[0.0, 0.01199830137193203, 0.30585554242134094, 0.6626161932945251, 0.05000000074505806, 0.15360091626644135, 0.0, 0.3050000071525574, 0.0]","[0.0, 9.573716852173675e-06, 0.34489667415618896, 0.7016573548316956, 0.05000000074505806, 0.09830458462238312, 0.0, 0.3383333384990692, 0.0]"
75,1,0,-45.84493643840155,False,"[0.0, 9.573716852173675e-06, 0.34489667415618896, 0.7016573548316956, 0.05000000074505806, 0.09830458462238312, 0.0, 0.3383333384990692, 0.0]","[0.0, 7.639085808364143e-09, 0.3836978077888489, 0.7404584884643555, 0.05000000074505806, 0.06291493773460388, 0.0, 0.37166666984558105, 0.0]"
76,1,0,-54.58259517749151,False,"[0.0, 7.639085808364143e-09, 0.3836978077888489, 0.7404584884643555, 0.05000000074505806, 0.06291493773460388, 0.0, 0.37166666984558105, 0.0]","[0.0, 6.095399358863052e-12, 0.5363226532936096, 0.7810516357421875, 0.05000000074505806, 0.040265560150146484, 0.0, 0.4050000011920929, 0.0]"
77,1,0,-76.4022048830986,False,"[0.0, 6.095399358863052e-12, 0.5363226532936096, 0.7810516357421875, 0.05000000074505806, 0.040265560150146484, 0.0, 0.4050000011920929, 0.0]","[0.0, 4.863657253903562e-15, 0.8230457305908203, 0.8230457305908203, 0.05000000074505806, 0.025769958272576332, 0.0, 0.43833333253860474, 0.0]"
78,1,1,-103.55173079967498,False,"[0.0, 4.863657253903562e-15, 0.8230457305908203, 0.8230457305908203, 0.05000000074505806, 0.025769958272576332, 0.0, 0.43833333253860474, 0.0]","[0.0, 3.880822482140017e-18, 0.8665137887001038, 0.8665137887001038, 0.05000000074505806, 0.016492772847414017, 0.0, 0.03333333507180214, 1.0]"
79,1,1,-108.9112678527832,False,"[0.0, 3.880822482140017e-18, 0.8665137887001038, 0.8665137887001038, 0.05000000074505806, 0.016492772847414017, 0.0, 0.03333333507180214, 1.0]","[0.0, 3.0965960614804e-21, 0.9134212136268616, 0.9134212136268616, 0.05000000074505806, 0.010555374436080456, 0.0, 0.06666667014360428, 1.0]"
80,1,1,-80.10677972038584,False,"[0.0, 3.0965960614804e-21, 0.9134212136268616, 0.9134212136268616, 0.05000000074505806, 0.010555374436080456, 0.0, 0.06666667014360428, 1.0]","[0.05000000074505806, 0.016729440540075302, 0.24741435050964355, 0.9562497138977051, 0.05000000074505806, 0.20675544440746307, 0.0, 0.10000000149011612, 1.0]"
81,1,1,-37.43816837668419,False,"[0.05000000074505806, 0.016729440540075302, 0.24741435050964355, 0.9562497138977051, 0.05000000074505806, 0.20675544440746307, 0.0, 0.10000000149011612, 1.0]","[0.0, 3.0447143217315897e-05, 0.36368075013160706, 0.995612621307373, 0.05000000074505806, 0.21232348680496216, 0.0, 0.13333334028720856, 1.0]"
82,1,1,-11.037125790119171,False,"[0.0, 3.0447143217315897e-05, 0.36368075013160706, 0.995612621307373, 0.05000000074505806, 0.21232348680496216, 0.0, 0.13333334028720856, 1.0]","[0.0, 2.4294465106322605e-08, 0.09527052938938141, 0.09527052938938141, 0.0, 0.1358870267868042, 0.0, 0.1666666716337204, 1.0]"
